,Unnamed: 0,year,rank,player,team,points,percentages
0,0,1956,1st,Stanley Matthews,Blackpool,47.0,37.9
3,3,1957,1st,Alfredo Di Stéfano,Real Madrid,72.0,58.54
7,7,1958,1st,Raymond Kopa,Real Madrid,71.0,52.99
10,10,1959,1st,Alfredo Di Stéfano,Real Madrid,80.0,54.79
13,13,1960,1st,Luis Suárez,Barcelona,54.0,43.55
16,16,1961,1st,Omar Sívori,Juventus,46.0,42.59
19,19,1962,1st,Josef Masopust,Dukla Prague,65.0,43.05
22,22,1963,1st,Lev Yashin,Dynamo Moscow,73.0,41.01
25,25,1964,1st,Denis Law,Manchester United,61.0,42.96
28,28,1965,1st,Eusébio,Benfica,67.0,39.18
31,31,1966,1st,Bobby Charlton,Manchester United,81.0,36.82
34,34,1967,1st,Flórián Albert,Ferencváros,68.0,46.26
37,37,1968,1st,George Best,Manchester United,61.0,38.12
40,40,1969,1st,Gianni Rivera,Milan,83.0,41.5
43,43,1970,1st,Gerd Müller,Bayern Munich,77.0,36.32
46,46,1971,1st,Johan Cruyff,Ajax,116.0,50.66
49,49,1972,1st,Franz Beckenbauer,Bayern Munich,81.0,33.89
52,52,1973,1st,Johan Cruyff,Barcelona,96.0,51.34
55,55,1974,1st,Johan Cruyff,Barcelona,116.0,45.31
58,58,1975,1st,Oleg Blokhin,Dynamo Kyiv,122.0,63.87
61,61,1976,1st,Franz Beckenbauer,Bayern Munich,91.0,41.74
64,64,1977,1st,Allan Simonsen,Borussia Mönchengladbach,74.0,34.42
67,67,1978,1st,Kevin Keegan,Hamburg,87.0,39.91
70,70,1979,1st,Kevin Keegan,Hamburg,118.0,55.92
73,73,1980,1st,Karl-Heinz Rummenigge,Bayern Munich,122.0,64.55
76,76,1981,1st,Karl-Heinz Rummenigge,Bayern Munich,106.0,50.72
79,79,1982,1st,Paolo Rossi,Juventus,115.0,52.75
82,82,1983,1st,Michel Platini,Juventus,110.0,68.32
85,85,1984,1st,Michel Platini,Juventus,110.0,51.16
88,88,1985,1st,Michel Platini,Juventus,127.0,52.05
91,91,1986,1st,Igor Belanov,Dynamo Kyiv,84.0,40.98
94,94,1987,1st,Ruud Gullit,Milan,106.0,41.09
97,97,1988,1st,Marco van Basten,Milan,129.0,49.24
100,100,1989,1st,Marco van Basten,Milan,129.0,51.19
103,103,1990,1st,Lothar Matthäus,Internazionale,137.0,47.4
106,106,1991,1st,Jean-Pierre Papin,Marseille,141.0,52.81
110,110,1992,1st,Marco van Basten,Milan,98.0,42.42
113,113,1993,1st,Roberto Baggio,Juventus,142.0,54.83
116,116,1994,1st,Hristo Stoichkov,Barcelona,210.0,46.15
119,119,1995,1st,George Weah ,Milan,144.0,45.14
122,122,1996,1st,Matthias Sammer,Borussia Dortmund,144.0,36.55
125,125,1997,1st,Ronaldo ,Internazionale,222.0,62.89
128,128,1998,1st,Zinedine Zidane,Juventus,244.0,64.55
131,131,1999,1st,Rivaldo,Barcelona,219.0,50.11
134,134,2000,1st,Luís Figo,Real Madrid,197.0,42.55
137,137,2001,1st,Michael Owen,Liverpool,176.0,40.93
140,140,2002,1st,Ronaldo ,Real Madrid,169.0,39.86
143,143,2003,1st,Pavel Nedvěd,Juventus,190.0,43.08
146,146,2004,1st,Andriy Shevchenko,Milan,175.0,39.15
149,149,2005,1st,Ronaldinho,Barcelona,225.0,43.69
152,152,2006,1st,Fabio Cannavaro ,Real Madrid,173.0,41.39
155,155,2007,1st,Kaká,Milan,444.0,45.49
158,158,2008,1st,Cristiano Ronaldo,Manchester United,446.0,49.23
161,161,2009,1st,Lionel Messi,Barcelona,473.0,54.0
164,164,2010,1st,Lionel Messi,Barcelona,,22.65
167,167,2011,1st,Lionel Messi,Barcelona,,47.88
170,170,2012,1st,Lionel Messi,Barcelona,,41.6
173,173,2013,1st,Cristiano Ronaldo,Real Madrid,,27.99
176,176,2014,1st,Cristiano Ronaldo,Real Madrid,,37.66
179,179,2015,1st,Lionel Messi,Barcelona,,41.33
182,182,2016,1st,Cristiano Ronaldo,Real Madrid,745.0,59.17
185,185,2017,1st,Cristiano Ronaldo,Real Madrid,946.0,47.85
188,188,2018,1st,Luka Modrić,Real Madrid,753.0,45.83
191,191,2019,1st,Lionel Messi,Barcelona,686.0,37.26
